,Protein Name,MD Value
0,Apolipoprotein C-II,-2.9047123789756792
1,Complement C1q subcomponent subunit C,-3.115629316999708
2,Apolipoprotein E,-3.9551323264846148
3,Caspase-8,-3.2404351395603923
4,Serum amyloid A-1 protein,-3.5701517856977008
5,Fibrinogen alpha chain,-3.115773845851661
6,Apolipoprotein A-IV,-3.2815719813601927
7,Apolipoprotein C-III,-3.138075233539119
8,Apolipoprotein A-II,-3.096729753727657
9,Apolipoprotein C-I,-3.4616547454790414
10,Arylsulfatase B,-3.5196077518174307
11,Apolipoprotein A-I,-3.432345710708322
12,Serum amyloid A-4 protein,-3.892176923972296
13,Apolipoprotein D,-3.020090540862544
14,Immunoglobulin heavy constant mu,-3.078003752838814
15,Antithrombin-III,-3.3887351539612807
16,Haptoglobin-related protein,-3.0376731606100944
17,Complement C4-B,-3.3973212135915016
18,Alpha-1-antitrypsin,-2.7923470564293424
19,Complement C3,-3.3077543190540015
20,Plasma protease C1 inhibitor,-2.9877224906088364
21,Immunoglobulin lambda constant 3,-2.557098545646154
22,Immunoglobulin J chain,-3.32088901080348
23,Immunoglobulin lambda variable 8-61,-2.743770322484062
24,Carboxypeptidase N subunit 2,-3.0333618372526945
25,Basic salivary proline-rich protein 4,-3.3621616054639136
26,Immunoglobulin lambda variable 2-18,-2.674524211607208
27,Immunoglobulin lambda variable 2-11,-2.772188815146125
28,Immunoglobulin heavy variable 3-74,-3.4945117561411037
29,Angiotensinogen,-2.9874496548466976
30,Transthyretin,-2.8735797310101483
31,Immunoglobulin heavy variable 3/OR16-9 (non-functional) (Fragment),-3.1800413261602536
32,Immunoglobulin heavy variable 3-7,-3.3501482105628195
33,Immunoglobulin lambda variable 1-51,-2.60533938148652
34,Immunoglobulin lambda variable 1-47,-2.762221551211428
35,Immunoglobulin lambda variable 1-40,-2.5977147075811664
36,Hemoglobin subunit beta,-2.9419587287265254
37,Hemoglobin subunit beta,-2.9419587287265254
38,Immunoglobulin heavy variable 6-1,-3.442715064156536
39,Immunoglobulin kappa variable 3-20,-3.118137497058552
40,Serum amyloid P-component,-3.2976281707534993
41,Immunoglobulin lambda variable 2-14,-2.4716509210550237
42,Immunoglobulin heavy constant alpha 2,-3.0683096032641113
43,Immunoglobulin heavy variable 2-26,-3.25790284540824
44,Immunoglobulin lambda variable 7-46,-2.923236664638864
45,Immunoglobulin kappa variable 3D-20,-2.9508043720075
46,Deoxynucleoside triphosphate triphosphohydrolase SAMHD1,-3.544009483326933
47,Immunoglobulin heavy constant alpha 1,-3.037338078713739
48,Immunoglobulin kappa variable 4-1,-2.9356402381296136
49,Immunoglobulin heavy variable 3-64D,-3.2095156474977027
50,Immunoglobulin kappa variable 2-30,-3.5829452171131253
51,Immunoglobulin lambda-like polypeptide 1,-3.6552919484649538
52,Immunoglobulin heavy constant gamma 2,-3.0570250265212366
53,Immunoglobulin lambda-like polypeptide 5,-3.450609268116916
54,Alpha-2-macroglobulin,-3.003529418770906
55,Immunoglobulin kappa variable 2-28,-3.0963998849376395
56,Cell division cycle 5-like protein,-3.6525072745514238
57,Immunoglobulin kappa variable 1-6,-3.3385875425177858
58,Probable U3 small nucleolar RNA-associated protein 11,-4.645967122882165
59,Ceruloplasmin,-3.0618187304770546
60,Immunoglobulin lambda variable 3-10,-2.776813640965135
61,Immunoglobulin kappa variable 3D-15,-3.11929220438017
62,Immunoglobulin heavy constant gamma 3,-3.1708281980025914
63,Alpha-2-HS-glycoprotein,-2.918730746959563
64,Immunoglobulin kappa variable 3D-11,-3.1879003611609735
65,Immunoglobulin kappa variable 1-5,-3.1545080089142075
66,Ig-like domain-containing,-3.221489841116858
67,Immunoglobulin kappa joining 1,-3.3796846258303925
68,Titin,-3.2567290865682232
69,Immunoglobulin heavy constant gamma 1,-2.9393040327538515
70,Immunoglobulin kappa variable 1D-13,-3.1345084507151
71,Immunoglobulin lambda variable 3-21,-2.7237875697453244
72,Alpha-1-antichymotrypsin,-3.100457139552451
73,Immunoglobulin heavy constant gamma 4,-3.01284623783702
74,Lumican,-2.9710780022253136
75,5-phosphohydroxy-L-lysine phospho-lyase,-3.2381453492261594
76,Leucine-rich alpha-2-glycoprotein,-3.2670143602332784
77,Immunoglobulin kappa variable 1D-33,-2.94043555350165
78,Immunoglobulin heavy variable 5-10-1,-3.15360477393579
79,Immunoglobulin lambda variable 6-57,-2.5306008864106726
80,Immunoglobulin kappa constant,-2.8379399639560328
81,Immunoglobulin kappa joining 3 (Fragment),-3.080584161450435
82,Izumo sperm-egg fusion protein 2,-3.6992642913879363
83,Corticosteroid-binding globulin,-2.9326694290386133
84,Zinc-alpha-2-glycoprotein,-3.3405063634844523
85,Haptoglobin,-2.95016422533211
86,Dynein axonemal heavy chain 8,-3.3227004928663857
87,Vitamin D-binding protein,-2.98981121630647
88,Retinol-binding protein 4,-3.697257854679364
89,Alpha-1-acid glycoprotein 2,-3.3130615999798483
90,Alpha-1B-glycoprotein,-3.3353716959054083
91,Albumin,-3.3177602453893558
92,Serotransferrin,-3.1769149252531963
93,Methionine synthase,-3.1475602317503633
94,Hemopexin,-3.387353062521865
95,RNA-binding protein 27,-3.560987152225037
96,Alpha-2-macroglobulin receptor-associated protein,-3.676702045961401
97,Unconventional myosin-XVIIIb,-3.4051204497596013
98,Alpha-1-acid glycoprotein 1,-3.237940742154605
99,"Inositol 1,4,5-trisphosphate receptor type 1 (Fragment)",-3.3964519383861336
