,Protein Name,MD Value
0,Apolipoprotein C-II,-12.634446537598524
1,Complement C1q subcomponent subunit C,-9.498707048843972
2,Apolipoprotein E,-10.911341198365731
3,Caspase-8,-5.241157102537011
4,Serum amyloid A-1 protein,-9.442525774035158
5,Fibrinogen alpha chain,-6.910300256886786
6,Apolipoprotein A-IV,-9.88755529191316
7,Apolipoprotein C-III,-12.5724708623972
8,Apolipoprotein A-II,-10.250989756807869
9,Apolipoprotein C-I,-10.339521656589682
10,Arylsulfatase B,-5.842884829181065
11,Apolipoprotein A-I,-10.476809630609683
12,Serum amyloid A-4 protein,-8.307622138222447
13,Apolipoprotein D,-8.949493435980006
14,Immunoglobulin heavy constant mu,-6.110633014431767
15,Antithrombin-III,-8.374220197764256
16,Haptoglobin-related protein,-6.0580332452544345
17,Complement C4-B,-7.308679143696391
18,Alpha-1-antitrypsin,-7.857573111934284
19,Complement C3,-7.4770560859166
20,Plasma protease C1 inhibitor,-8.291078237874926
21,Immunoglobulin lambda constant 3,-6.966624581336533
22,Immunoglobulin J chain,-3.721917023992926
23,Immunoglobulin lambda variable 8-61,-10.00654209816828
24,Carboxypeptidase N subunit 2,-6.265974919843799
25,Basic salivary proline-rich protein 4,-9.529748340965552
26,Immunoglobulin lambda variable 2-18,-8.20672957918276
27,Immunoglobulin lambda variable 2-11,-5.924506190103358
28,Immunoglobulin heavy variable 3-74,-7.443558691200223
29,Angiotensinogen,-8.556211664038528
30,Transthyretin,-8.063322446572013
31,Immunoglobulin heavy variable 3/OR16-9 (non-functional) (Fragment),-8.497886146839098
32,Immunoglobulin heavy variable 3-7,-9.253983922952376
33,Immunoglobulin lambda variable 1-51,-4.779585787693407
34,Immunoglobulin lambda variable 1-47,-6.277583365474136
35,Immunoglobulin lambda variable 1-40,-5.7190187170399405
36,Hemoglobin subunit beta,-8.152953917376209
37,Hemoglobin subunit beta,-8.152953917376209
38,Immunoglobulin heavy variable 6-1,-6.413122345865347
39,Immunoglobulin kappa variable 3-20,-6.742191473093255
40,Serum amyloid P-component,-6.501514486432255
41,Immunoglobulin lambda variable 2-14,-5.995510401264244
42,Immunoglobulin heavy constant alpha 2,-6.008040585868892
43,Immunoglobulin heavy variable 2-26,-7.482095238570843
44,Immunoglobulin lambda variable 7-46,-6.312227162022431
45,Immunoglobulin kappa variable 3D-20,-7.456888982662969
46,Deoxynucleoside triphosphate triphosphohydrolase SAMHD1,-4.142757672413023
47,Immunoglobulin heavy constant alpha 1,-6.274781520901934
48,Immunoglobulin kappa variable 4-1,-6.94553870628226
49,Immunoglobulin heavy variable 3-64D,-7.625512144676056
50,Immunoglobulin kappa variable 2-30,-7.59996454907712
51,Immunoglobulin lambda-like polypeptide 1,-6.71889964365536
52,Immunoglobulin heavy constant gamma 2,-5.629946965184931
53,Immunoglobulin lambda-like polypeptide 5,-7.58069170711539
54,Alpha-2-macroglobulin,-6.932129389635017
55,Immunoglobulin kappa variable 2-28,-8.139180438780171
56,Cell division cycle 5-like protein,-8.517227022059167
57,Immunoglobulin kappa variable 1-6,-6.868748735205212
58,Probable U3 small nucleolar RNA-associated protein 11,-5.770594782027361
59,Ceruloplasmin,-5.733529674218596
60,Immunoglobulin lambda variable 3-10,-6.954247644740961
61,Immunoglobulin kappa variable 3D-15,-6.939151771734821
62,Immunoglobulin heavy constant gamma 3,-4.749911679408116
63,Alpha-2-HS-glycoprotein,-6.069356964788577
64,Immunoglobulin kappa variable 3D-11,-6.570943131394334
65,Immunoglobulin kappa variable 1-5,-5.896805535653055
66,Ig-like domain-containing,-6.7741397691245675
67,Immunoglobulin kappa joining 1,-4.928479948675564
68,Titin,-7.733729839163934
69,Immunoglobulin heavy constant gamma 1,-6.013058936798599
70,Immunoglobulin kappa variable 1D-13,-6.0158482151575186
71,Immunoglobulin lambda variable 3-21,-5.53390354649236
72,Alpha-1-antichymotrypsin,-8.917278600775994
73,Immunoglobulin heavy constant gamma 4,-6.361417407344015
74,Lumican,-6.27354472430665
75,5-phosphohydroxy-L-lysine phospho-lyase,-5.9188001079446515
76,Leucine-rich alpha-2-glycoprotein,-8.738912874464258
77,Immunoglobulin kappa variable 1D-33,-6.788125344919438
78,Immunoglobulin heavy variable 5-10-1,-6.162160858327798
79,Immunoglobulin lambda variable 6-57,-4.977169760183836
80,Immunoglobulin kappa constant,-6.085538293575003
81,Immunoglobulin kappa joining 3 (Fragment),-7.925533094134784
82,Izumo sperm-egg fusion protein 2,-5.732540227280008
83,Corticosteroid-binding globulin,-7.579819225256875
84,Zinc-alpha-2-glycoprotein,-8.000108220950187
85,Haptoglobin,-6.5071771840706285
86,Dynein axonemal heavy chain 8,-6.63402107748077
87,Vitamin D-binding protein,-5.510120139030777
88,Retinol-binding protein 4,-8.672396946900983
89,Alpha-1-acid glycoprotein 2,-6.802054887026836
90,Alpha-1B-glycoprotein,-6.887384213867001
91,Albumin,-4.84525207616406
92,Serotransferrin,-5.024755344279652
93,Methionine synthase,-7.506596840096499
94,Hemopexin,-4.996737882400502
95,RNA-binding protein 27,-7.025397639988988
96,Alpha-2-macroglobulin receptor-associated protein,-4.792092792177025
97,Unconventional myosin-XVIIIb,-7.147004983596634
98,Alpha-1-acid glycoprotein 1,-6.8380489195476235
99,"Inositol 1,4,5-trisphosphate receptor type 1 (Fragment)",-5.754357052357135
