,Protein Name,MD Value
0,Apolipoprotein C-II,-12.63444653759841
1,Complement C1q subcomponent subunit C,-9.498707048843954
2,Apolipoprotein E,-10.911341198365545
3,Caspase-8,-5.241157102537103
4,Serum amyloid A-1 protein,-9.442525774035245
5,Fibrinogen alpha chain,-6.910300256886931
6,Apolipoprotein A-IV,-9.887555291913166
7,Apolipoprotein C-III,-12.572470862397102
8,Apolipoprotein A-II,-10.25098975680775
9,Apolipoprotein C-I,-10.339521656589639
10,Arylsulfatase B,-5.842884829181134
11,Apolipoprotein A-I,-10.476809630609603
12,Serum amyloid A-4 protein,-8.307622138222566
13,Apolipoprotein D,-8.949493435980344
14,Immunoglobulin heavy constant mu,-6.110633014431853
15,Antithrombin-III,-8.374220197764433
16,Haptoglobin-related protein,-6.05803324525457
17,Complement C4-B,-7.308679143696404
18,Alpha-1-antitrypsin,-7.8575731119343875
19,Complement C3,-7.4770560859166615
20,Plasma protease C1 inhibitor,-8.291078237875052
21,Immunoglobulin lambda constant 3,-6.966624581336622
22,Immunoglobulin J chain,-3.7219170239931763
23,Immunoglobulin lambda variable 8-61,-10.006542098168223
24,Carboxypeptidase N subunit 2,-6.265974919843975
25,Basic salivary proline-rich protein 4,-9.529748340965574
26,Immunoglobulin lambda variable 2-18,-8.206729579182786
27,Immunoglobulin lambda variable 2-11,-5.924506190103319
28,Immunoglobulin heavy variable 3-74,-7.443558691200276
29,Angiotensinogen,-8.55621166403854
30,Transthyretin,-8.063322446572005
31,Immunoglobulin heavy variable 3/OR16-9 (non-functional) (Fragment),-8.49788614683929
32,Immunoglobulin heavy variable 3-7,-9.253983922952417
33,Immunoglobulin lambda variable 1-51,-4.779585787693508
34,Immunoglobulin lambda variable 1-47,-6.2775833654742055
35,Immunoglobulin lambda variable 1-40,-5.719018717039944
36,Hemoglobin subunit beta,-8.152953917376253
37,Hemoglobin subunit beta,-8.152953917376253
38,Immunoglobulin heavy variable 6-1,-6.413122345865537
39,Immunoglobulin kappa variable 3-20,-6.742191473093115
40,Serum amyloid P-component,-6.50151448643237
41,Immunoglobulin lambda variable 2-14,-5.995510401264307
42,Immunoglobulin heavy constant alpha 2,-6.008040585868898
43,Immunoglobulin heavy variable 2-26,-7.482095238570864
44,Immunoglobulin lambda variable 7-46,-6.312227162022354
45,Immunoglobulin kappa variable 3D-20,-7.456888982662836
46,Deoxynucleoside triphosphate triphosphohydrolase SAMHD1,-4.142757672413126
47,Immunoglobulin heavy constant alpha 1,-6.274781520901933
48,Immunoglobulin kappa variable 4-1,-6.9455387062823375
49,Immunoglobulin heavy variable 3-64D,-7.625512144676065
50,Immunoglobulin kappa variable 2-30,-7.59996454907712
51,Immunoglobulin lambda-like polypeptide 1,-6.718899643655353
52,Immunoglobulin heavy constant gamma 2,-5.629946965185072
53,Immunoglobulin lambda-like polypeptide 5,-7.580691707115358
54,Alpha-2-macroglobulin,-6.932129389635124
55,Immunoglobulin kappa variable 2-28,-8.139180438780155
56,Cell division cycle 5-like protein,-8.517227022059226
57,Immunoglobulin kappa variable 1-6,-6.868748735205158
58,Probable U3 small nucleolar RNA-associated protein 11,-5.770594782027328
59,Ceruloplasmin,-5.733529674218743
60,Immunoglobulin lambda variable 3-10,-6.954247644740911
61,Immunoglobulin kappa variable 3D-15,-6.93915177173484
62,Immunoglobulin heavy constant gamma 3,-4.74991167940821
63,Alpha-2-HS-glycoprotein,-6.069356964788606
64,Immunoglobulin kappa variable 3D-11,-6.570943131394301
65,Immunoglobulin kappa variable 1-5,-5.896805535652986
66,Ig-like domain-containing,-6.774139769124627
67,Immunoglobulin kappa joining 1,-4.928479948675369
68,Titin,-7.733729839164006
69,Immunoglobulin heavy constant gamma 1,-6.013058936798724
70,Immunoglobulin kappa variable 1D-13,-6.015848215157439
71,Immunoglobulin lambda variable 3-21,-5.533903546492427
72,Alpha-1-antichymotrypsin,-8.917278600776108
73,Immunoglobulin heavy constant gamma 4,-6.361417407344131
74,Lumican,-6.273544724307003
75,5-phosphohydroxy-L-lysine phospho-lyase,-5.918800107944701
76,Leucine-rich alpha-2-glycoprotein,-8.738912874464328
77,Immunoglobulin kappa variable 1D-33,-6.788125344919491
78,Immunoglobulin heavy variable 5-10-1,-6.162160858327737
79,Immunoglobulin lambda variable 6-57,-4.977169760183997
80,Immunoglobulin kappa constant,-6.085538293575174
81,Immunoglobulin kappa joining 3 (Fragment),-7.925533094134652
82,Izumo sperm-egg fusion protein 2,-5.732540227280016
83,Corticosteroid-binding globulin,-7.5798192252570455
84,Zinc-alpha-2-glycoprotein,-8.000108220950267
85,Haptoglobin,-6.507177184070762
86,Dynein axonemal heavy chain 8,-6.634021077480886
87,Vitamin D-binding protein,-5.510120139030856
88,Retinol-binding protein 4,-8.672396946901086
89,Alpha-1-acid glycoprotein 2,-6.802054887026971
90,Alpha-1B-glycoprotein,-6.887384213866974
91,Albumin,-4.845252076164082
92,Serotransferrin,-5.024755344279761
93,Methionine synthase,-7.506596840096556
94,Hemopexin,-4.99673788240053
95,RNA-binding protein 27,-7.025397639989103
96,Alpha-2-macroglobulin receptor-associated protein,-4.7920927921770184
97,Unconventional myosin-XVIIIb,-7.14700498359656
98,Alpha-1-acid glycoprotein 1,-6.838048919547759
99,"Inositol 1,4,5-trisphosphate receptor type 1 (Fragment)",-5.754357052357222
