,Protein Name,MD Value
0,Apolipoprotein C-II,-1.2645711661540369
1,Complement C1q subcomponent subunit C,-1.5243415904029678
2,Apolipoprotein E,-2.0891983108668724
3,Caspase-8,-1.5615862109889178
4,Serum amyloid A-1 protein,-1.9888155305358735
5,Fibrinogen alpha chain,-1.6013213672290783
6,Apolipoprotein A-IV,-1.5498921417007692
7,Apolipoprotein C-III,-1.4410467796218944
8,Apolipoprotein A-II,-1.347376193078886
9,Apolipoprotein C-I,-1.6470594603547253
10,Arylsulfatase B,-1.866698602616872
11,Apolipoprotein A-I,-1.6482114975196802
12,Serum amyloid A-4 protein,-2.217797999008639
13,Apolipoprotein D,-1.4009019899334199
14,Immunoglobulin heavy constant mu,-1.4944022966020063
15,Antithrombin-III,-1.6814744679815874
16,Haptoglobin-related protein,-1.406783016339073
17,Complement C4-B,-1.7375640360550244
18,Alpha-1-antitrypsin,-1.1827824481954372
19,Complement C3,-1.611130271407849
20,Plasma protease C1 inhibitor,-1.3459169212342665
21,Immunoglobulin lambda constant 3,-1.0741453469448083
22,Immunoglobulin J chain,-1.5774340622877245
23,Immunoglobulin lambda variable 8-61,-1.2948658262882786
24,Carboxypeptidase N subunit 2,-1.4616286533640885
25,Basic salivary proline-rich protein 4,-1.8526830051480057
26,Immunoglobulin lambda variable 2-18,-1.295215502281072
27,Immunoglobulin lambda variable 2-11,-1.3714208369583967
28,Immunoglobulin heavy variable 3-74,-1.8990963325062507
29,Angiotensinogen,-1.3497240293131425
30,Transthyretin,-1.3205372505017259
31,Immunoglobulin heavy variable 3/OR16-9 (non-functional) (Fragment),-1.7083442339687038
32,Immunoglobulin heavy variable 3-7,-1.7489925825265593
33,Immunoglobulin lambda variable 1-51,-1.2082946899158946
34,Immunoglobulin lambda variable 1-47,-1.393653311948199
35,Immunoglobulin lambda variable 1-40,-1.242374375516897
36,Hemoglobin subunit beta,-1.2844329084007549
37,Hemoglobin subunit beta,-1.2844329084007549
38,Immunoglobulin heavy variable 6-1,-1.900512869201527
39,Immunoglobulin kappa variable 3-20,-1.6434418113264218
40,Serum amyloid P-component,-1.7344390160837952
41,Immunoglobulin lambda variable 2-14,-1.1725801134194869
42,Immunoglobulin heavy constant alpha 2,-1.4608456874968805
43,Immunoglobulin heavy variable 2-26,-1.529709703583468
44,Immunoglobulin lambda variable 7-46,-1.4460987124609062
45,Immunoglobulin kappa variable 3D-20,-1.486601564634969
46,Deoxynucleoside triphosphate triphosphohydrolase SAMHD1,-1.840637570446857
47,Immunoglobulin heavy constant alpha 1,-1.4496334335638759
48,Immunoglobulin kappa variable 4-1,-1.4895509249614125
49,Immunoglobulin heavy variable 3-64D,-1.658400982881877
50,Immunoglobulin kappa variable 2-30,-1.9547319941697623
51,Immunoglobulin lambda-like polypeptide 1,-2.016083233473628
52,Immunoglobulin heavy constant gamma 2,-1.4524885666100846
53,Immunoglobulin lambda-like polypeptide 5,-1.7804502702089355
54,Alpha-2-macroglobulin,-1.4177849281695294
55,Immunoglobulin kappa variable 2-28,-1.5651944360284349
56,Cell division cycle 5-like protein,-1.8381776979765152
57,Immunoglobulin kappa variable 1-6,-1.7474721776283464
58,Probable U3 small nucleolar RNA-associated protein 11,-2.5509486737866403
59,Ceruloplasmin,-1.5145987290068532
60,Immunoglobulin lambda variable 3-10,-1.32498669311076
61,Immunoglobulin kappa variable 3D-15,-1.6465411872593618
62,Immunoglobulin heavy constant gamma 3,-1.52298577501961
63,Alpha-2-HS-glycoprotein,-1.294923331966102
64,Immunoglobulin kappa variable 3D-11,-1.6818430812954719
65,Immunoglobulin kappa variable 1-5,-1.6107250950766132
66,Ig-like domain-containing,-1.6297535353428951
67,Immunoglobulin kappa joining 1,-1.7395125264750662
68,Titin,-1.5697688956625087
69,Immunoglobulin heavy constant gamma 1,-1.3536905273198594
70,Immunoglobulin kappa variable 1D-13,-1.6157426081759934
71,Immunoglobulin lambda variable 3-21,-1.2802146342466374
72,Alpha-1-antichymotrypsin,-1.4302891972793916
73,Immunoglobulin heavy constant gamma 4,-1.42954522954146
74,Lumican,-1.4059193456372554
75,5-phosphohydroxy-L-lysine phospho-lyase,-1.615720718311158
76,Leucine-rich alpha-2-glycoprotein,-1.5839730948002197
77,Immunoglobulin kappa variable 1D-33,-1.418037525391956
78,Immunoglobulin heavy variable 5-10-1,-1.6172240935732842
79,Immunoglobulin lambda variable 6-57,-1.2027376122573603
80,Immunoglobulin kappa constant,-1.3059504440358234
81,Immunoglobulin kappa joining 3 (Fragment),-1.5056580896900795
82,Izumo sperm-egg fusion protein 2,-1.855694740746067
83,Corticosteroid-binding globulin,-1.3732780843186105
84,Zinc-alpha-2-glycoprotein,-1.6903623018476877
85,Haptoglobin,-1.3181745944158667
86,Dynein axonemal heavy chain 8,-1.6323050673044226
87,Vitamin D-binding protein,-1.27564546289144
88,Retinol-binding protein 4,-1.9267667533859587
89,Alpha-1-acid glycoprotein 2,-1.6729490666285098
90,Alpha-1B-glycoprotein,-1.7084638894060418
91,Albumin,-1.525188131133257
92,Serotransferrin,-1.475315923849618
93,Methionine synthase,-1.490365779869268
94,Hemopexin,-1.7831578416993357
95,RNA-binding protein 27,-1.859754276127565
96,Alpha-2-macroglobulin receptor-associated protein,-1.9124614980558383
97,Unconventional myosin-XVIIIb,-1.6850882315874394
98,Alpha-1-acid glycoprotein 1,-1.5888953804106118
99,"Inositol 1,4,5-trisphosphate receptor type 1 (Fragment)",-1.7160025106219954
